team,opponent,final_score,category
ECUADOR,QATAR,2-0,Group A
QATAR,ECUADOR,0-2,Group A
ENGLAND,IRAN,6-2,Group B
IRAN,ENGLAND,2-6,Group B
NETHERLANDS,SENEGAL,2-0,Group A
SENEGAL,NETHERLANDS,0-2,Group A
UNITED STATES,WALES,1-1,Group B
WALES,UNITED STATES,1-1,Group B
SAUDI ARABIA,ARGENTINA,2-1,Group C
ARGENTINA,SAUDI ARABIA,1-2,Group C
DENMARK,TUNISIA,0-0,Group D
TUNISIA,DENMARK,0-0,Group D
MEXICO,POLAND,0-0,Group C
POLAND,MEXICO,0-0,Group C
FRANCE,AUSTRALIA,4-1,Group D
AUSTRALIA,FRANCE,1-4,Group D
MOROCCO,CROATIA,0-0,Group F
CROATIA,MOROCCO,0-0,Group F
JAPAN,GERMANY,2-1,Group E
GERMANY,JAPAN,1-2,Group E
SPAIN,COSTA RICA,7-0,Group E
COSTA RICA,SPAIN,0-7,Group E
BELGIUM,CANADA,1-0,Group F
CANADA,BELGIUM,0-1,Group F
SWITZERLAND,CAMEROON,1-0,Group G
CAMEROON,SWITZERLAND,0-1,Group G
URUGUAY,KOREA REPUBLIC,0-0,Group H
KOREA REPUBLIC,URUGUAY,0-0,Group H
PORTUGAL,GHANA,3-2,Group H
GHANA,PORTUGAL,2-3,Group H
BRAZIL,SERBIA,2-0,Group G
SERBIA,BRAZIL,0-2,Group G
IRAN,WALES,2-0,Group B
WALES,IRAN,0-2,Group B
SENEGAL,QATAR,3-1,Group A
QATAR,SENEGAL,1-3,Group A
NETHERLANDS,ECUADOR,1-1,Group A
ECUADOR,NETHERLANDS,1-1,Group A
ENGLAND,UNITED STATES,0-0,Group B
UNITED STATES,ENGLAND,0-0,Group B
AUSTRALIA,TUNISIA,1-0,Group D
TUNISIA,AUSTRALIA,0-1,Group D
POLAND,SAUDI ARABIA,2-0,Group C
SAUDI ARABIA,POLAND,0-2,Group C
FRANCE,DENMARK,2-1,Group D
DENMARK,FRANCE,1-2,Group D
ARGENTINA,MEXICO,2-0,Group C
MEXICO,ARGENTINA,0-2,Group C
COSTA RICA,JAPAN,1-0,Group E
JAPAN,COSTA RICA,0-1,Group E
MOROCCO,BELGIUM,2-0,Group F
BELGIUM,MOROCCO,0-2,Group F
CROATIA,CANADA,4-1,Group F
CANADA,CROATIA,1-4,Group F
SPAIN,GERMANY,1-1,Group E
GERMANY,SPAIN,1-1,Group E
CAMEROON,SERBIA,3-3,Group G
SERBIA,CAMEROON,3-3,Group G
GHANA,KOREA REPUBLIC,3-2,Group H
KOREA REPUBLIC,GHANA,2-3,Group H
BRAZIL,SWITZERLAND,1-0,Group G
SWITZERLAND,BRAZIL,0-1,Group G
PORTUGAL,URUGUAY,2-0,Group H
URUGUAY,PORTUGAL,0-2,Group H
NETHERLANDS,QATAR,2-0,Group A
QATAR,NETHERLANDS,0-2,Group A
SENEGAL,ECUADOR,2-1,Group A
ECUADOR,SENEGAL,1-2,Group A
ENGLAND,WALES,3-0,Group B
WALES,ENGLAND,0-3,Group B
UNITED STATES,IRAN,1-0,Group B
IRAN,UNITED STATES,0-1,Group B
AUSTRALIA,DENMARK,1-0,Group D
DENMARK,AUSTRALIA,0-1,Group D
TUNISIA,FRANCE,1-0,Group D
FRANCE,TUNISIA,0-1,Group D
ARGENTINA,POLAND,2-0,Group C
POLAND,ARGENTINA,0-2,Group C
MEXICO,SAUDI ARABIA,2-1,Group C
SAUDI ARABIA,MEXICO,1-2,Group C
CROATIA,BELGIUM,0-0,Group F
BELGIUM,CROATIA,0-0,Group F
MOROCCO,CANADA,2-1,Group F
CANADA,MOROCCO,1-2,Group F
JAPAN,SPAIN,2-1,Group E
SPAIN,JAPAN,1-2,Group E
GERMANY,COSTA RICA,4-2,Group E
COSTA RICA,GERMANY,2-4,Group E
URUGUAY,GHANA,2-0,Group H
GHANA,URUGUAY,0-2,Group H
KOREA REPUBLIC,PORTUGAL,2-1,Group H
PORTUGAL,KOREA REPUBLIC,1-2,Group H
SWITZERLAND,SERBIA,3-2,Group G
SERBIA,SWITZERLAND,2-3,Group G
CAMEROON,BRAZIL,1-0,Group G
BRAZIL,CAMEROON,0-1,Group G
NETHERLANDS,UNITED STATES,3-1,Round of 16
UNITED STATES,NETHERLANDS,1-3,Round of 16
ARGENTINA,AUSTRALIA,2-1,Round of 16
AUSTRALIA,ARGENTINA,1-2,Round of 16
FRANCE,POLAND,3-1,Round of 16
POLAND,FRANCE,1-3,Round of 16
ENGLAND,SENEGAL,3-0,Round of 16
SENEGAL,ENGLAND,0-3,Round of 16
JAPAN,CROATIA,1-1,Round of 16
CROATIA,JAPAN,1-1,Round of 16
BRAZIL,KOREA REPUBLIC,4-1,Round of 16
KOREA REPUBLIC,BRAZIL,1-4,Round of 16
MOROCCO,SPAIN,0-0,Round of 16
SPAIN,MOROCCO,0-0,Round of 16
PORTUGAL,SWITZERLAND,6-1,Round of 16
SWITZERLAND,PORTUGAL,1-6,Round of 16
CROATIA,BRAZIL,1-1,Quarter-final
BRAZIL,CROATIA,1-1,Quarter-final
NETHERLANDS,ARGENTINA,2-2,Quarter-final
ARGENTINA,NETHERLANDS,2-2,Quarter-final
MOROCCO,PORTUGAL,1-0,Quarter-final
PORTUGAL,MOROCCO,0-1,Quarter-final
FRANCE,ENGLAND,2-1,Quarter-final
ENGLAND,FRANCE,1-2,Quarter-final
