,Team,Yellow Cards,Red Cards
0,ARGENTINA,16,0
1,AUSTRALIA,7,0
2,BELGIUM,5,0
3,BRAZIL,6,0
4,CAMEROON,8,1
5,CANADA,8,0
6,COSTA RICA,6,0
7,CROATIA,8,0
8,DENMARK,5,0
9,ECUADOR,3,0
10,ENGLAND,1,0
11,FRANCE,8,0
12,GERMANY,3,0
13,GHANA,8,0
14,IRAN,7,0
15,JAPAN,6,0
16,KOREA REPUBLIC,6,0
17,MEXICO,7,0
18,MOROCCO,9,1
19,NETHERLANDS,12,1
20,POLAND,7,0
21,PORTUGAL,6,0
22,QATAR,7,0
23,SAUDI ARABIA,14,0
24,SENEGAL,7,0
25,SERBIA,12,0
26,SPAIN,2,0
27,SWITZERLAND,9,0
28,TUNISIA,5,0
29,UNITED STATES,5,0
30,URUGUAY,8,0
31,WALES,5,1
